# #runID ohdu lambdaBGbin
6417 13 0.183639
6417 14 0.137306
6417 15 0.020726
6418 2 0.228276
6418 3 0.198452
6418 4 0.199848
6418 5 0.213164
6418 6 0.224834
6418 7 0.149199
6418 8 0.217859
6418 9 0.153178
6418 10 0.102547
6418 13 0.192624
6418 14 0.155094
6418 15 0.035687
6419 2 0.215081
6419 3 0.178682
6419 4 0.169537
6419 5 0.210996
6419 6 0.235236
6419 7 0.136501
6419 8 0.224557
6419 9 0.167347
6419 10 0.099790
6419 13 0.169659
6419 14 0.160157
6419 15 0.021387
6420 2 0.233668
6420 3 0.177812
6420 4 0.205764
6420 5 0.224810
6420 6 0.245939
6420 7 0.162258
6420 8 0.224418
6420 9 0.182678
6420 10 0.088279
6420 13 0.180240
6420 14 0.161233
6420 15 0.019809
6421 2 0.213070
6421 3 0.194009
6421 4 0.197692
6421 5 0.222376
6421 6 0.249803
6421 7 0.156470
6421 8 0.229835
6421 9 0.147918
6421 10 0.082961
6421 13 0.169506
6421 14 0.167929
6421 15 0.038158
6422 2 0.209583
6422 3 0.174735
6422 4 0.169931
6422 5 0.219919
6422 6 0.197170
6422 7 0.144677
6422 8 0.221661
6422 9 0.186634
6422 10 0.091077
6422 13 0.172374
6422 14 0.140486
6422 15 0.024643
6423 2 0.205951
6423 3 0.169899
6423 4 0.200640
6423 5 0.207567
6423 6 0.198083
6423 7 0.134417
6423 8 0.231467
6423 9 0.172575
6423 10 0.061927
6423 13 0.167141
6423 14 0.178204
6423 15 0.020377
6424 2 0.206529
6424 3 0.187830
6424 4 0.236223
6424 5 0.223005
6424 6 0.224071
6424 7 0.164478
6424 8 0.209920
6424 9 0.167935
6424 10 0.088924
6424 13 0.167935
6424 14 0.158010
6424 15 0.039348
6425 2 0.225757
6425 3 0.189454
6425 4 0.187355
6425 5 0.199827
6425 6 0.277045
6425 7 0.153369
6425 8 0.217570
6425 9 0.191065
6425 10 0.082393
6425 13 0.169986
6425 14 0.153833
6425 15 0.034663
6426 2 0.206664
6426 3 0.195311
6426 4 0.191039
6426 5 0.222186
6426 6 0.247378
6426 7 0.144146
6426 8 0.223592
6426 9 0.162061
6426 10 0.070945
6426 13 0.166625
6426 14 0.172761
6426 15 0.016999
6427 2 0.235944
6427 3 0.174958
6427 4 0.171724
6427 5 0.220156
6427 6 0.257006
6427 7 0.174106
6427 8 0.219914
6427 9 0.159090
6427 10 0.073138
6427 13 0.174720
6427 14 0.159765
6427 15 0.020657
6428 2 0.214074
6428 3 0.194708
6428 4 0.164532
6428 5 0.204812
6428 6 0.241543
6428 7 0.181314
6428 8 0.229484
6428 9 0.140044
6428 10 0.089030
6428 13 0.177821
6428 14 0.155654
6428 15 0.033998
6429 2 0.207624
6429 3 0.164547
6429 4 0.183765
6429 5 0.220440
6429 6 0.228705
6429 7 0.163079
6429 8 0.218988
6429 9 0.174573
6429 10 0.081211
6429 13 0.176214
6429 14 0.166590
6429 15 0.036125
6430 2 0.228583
6430 3 0.181441
6430 4 0.200843
6430 5 0.229280
6430 6 0.209577
6430 7 0.143322
6430 8 0.234811
6430 9 0.167981
6430 10 0.082223
6430 13 0.183998
6430 14 0.163458
6430 15 0.020062
6431 2 0.209732
6431 3 0.183944
6431 4 0.199123
6431 5 0.210823
6431 6 0.206085
6431 7 0.150979
6431 8 0.215242
6431 9 0.167926
6431 10 0.091748
6431 13 0.156773
6431 14 0.156864
6431 15 0.038049
6432 2 0.196469
6432 3 0.171786
6432 4 0.201588
6432 5 0.221921
6432 6 0.219912
6432 7 0.163435
6432 8 0.218247
6432 9 0.167641
6432 10 0.081813
6432 13 0.166336
6432 14 0.171235
6432 15 0.022777
6433 2 0.211964
6433 3 0.186196
6433 4 0.175195
6433 5 0.207304
6433 6 0.215013
6433 7 0.133780
6433 8 0.226459
6433 9 0.170207
6433 10 0.110023
6433 13 0.182113
6433 14 0.150598
6433 15 0.032041
6434 2 0.235421
6434 3 0.200125
6434 4 0.187725
6434 5 0.218785
6434 6 0.207114
6434 7 0.146261
6434 8 0.235909
6434 9 0.177438
6434 10 0.077400
6434 13 0.154991
6434 14 0.152006
6434 15 0.043814
6435 2 0.210229
6435 3 0.186943
6435 4 0.193915
6435 5 0.227788
6435 6 0.164248
6435 7 0.159969
6435 8 0.205051
6435 9 0.163776
6435 10 0.088336
6435 13 0.160791
6435 14 0.156145
6435 15 0.016900
6436 2 0.197927
6436 3 0.153801
6436 4 0.180135
6436 5 0.208050
6436 6 0.231787
6436 7 0.171217
6436 8 0.225494
6436 9 0.162632
6436 10 0.079089
6436 13 0.170716
6436 14 0.152666
