# #runID ohdu sigmaOSbin
6465 9 13.092152
6465 10 12.378428
6465 11 6.653694
6465 12 6.962364
6465 13 12.787450
6465 14 12.197465
6465 15 12.554909
6464 2 11.457453
6464 3 12.133480
6464 4 11.522863
6464 5 11.409680
6464 6 16.496154
6464 7 10.912797
6464 8 11.876234
6464 9 13.230604
6464 10 12.322776
6464 11 6.670588
6464 12 6.950077
6464 13 12.753465
6464 14 12.207726
6464 15 12.593388
6463 2 11.489321
6463 3 12.126156
6463 4 11.460724
6463 5 11.372649
6463 6 16.521935
6463 7 10.898938
6463 8 11.905817
6463 9 13.072852
6463 10 12.330368
6463 11 6.654990
6463 12 6.970428
6463 13 12.815983
6463 14 12.189770
6463 15 12.563874
6462 2 11.455073
6462 3 12.117509
6462 4 11.648543
6462 5 11.360894
6462 6 16.487005
6462 7 10.923255
6462 8 11.875526
6462 9 13.085065
6462 10 12.329893
6462 11 6.666069
6462 12 6.963106
6462 13 12.776927
6462 14 12.402921
6462 15 12.571534
6461 2 11.469529
6461 3 12.109692
6461 4 11.544064
6461 5 11.378600
6461 6 16.524714
6461 7 10.891371
6461 8 11.885764
6461 9 13.080183
6461 10 12.304425
6461 11 6.660508
6461 12 6.973231
6461 13 12.726002
6461 14 12.158999
6461 15 12.549895
6460 2 11.479016
6460 3 12.101685
6460 4 11.505593
6460 5 11.418877
6460 6 16.508732
6460 7 10.941534
6460 8 11.875874
6460 9 13.115794
6460 10 12.330843
6460 11 6.670757
6460 12 7.003566
6460 13 12.832601
6460 14 12.122111
6460 15 12.584810
6459 2 11.451046
6459 3 12.116407
6459 4 11.532760
6459 5 11.371666
6459 6 16.527267
6459 7 10.869831
6459 8 11.868037
6459 9 13.023510
6459 10 12.361419
6459 11 6.687368
6459 12 6.980565
6459 13 12.739378
6459 14 12.192346
6459 15 12.581796
6458 2 11.458175
6458 3 12.102922
6458 4 11.559119
6458 5 11.406680
6458 6 16.492628
6458 7 10.927908
6458 8 11.870903
6458 9 13.048763
6458 10 12.335202
6458 11 6.670563
6458 12 6.994503
6458 13 12.825861
6458 14 12.178595
6458 15 12.576256
6457 2 11.466629
6457 3 12.089135
6457 4 11.580694
6457 5 11.391433
6457 6 16.501067
6457 7 10.879709
6457 8 11.881372
6457 9 13.009793
6457 10 12.373111
6457 11 6.690121
6457 12 6.986775
6457 13 12.757398
6457 14 12.195847
6457 15 12.555448
6456 2 11.422060
6456 3 12.126458
6456 4 11.553746
6456 5 11.363984
6456 6 16.535181
6456 7 10.894666
6456 8 11.858922
6456 9 13.024505
6456 10 12.341329
6456 11 6.653642
6456 12 6.940878
6456 13 12.772357
6456 14 12.141765
6456 15 12.568798
6455 2 11.428279
6455 3 12.128713
6455 4 11.569913
6455 5 11.364552
6455 6 16.491618
6455 7 10.842612
6455 8 11.855770
6455 9 13.096741
6455 10 12.369479
6455 11 6.671653
6455 12 6.961502
6455 13 12.783723
6455 14 12.162551
6455 15 12.555250
6454 2 11.485760
6454 3 12.085512
6454 4 11.575354
6454 5 11.392691
6454 6 16.495902
6454 7 10.932552
6454 8 11.842351
6454 9 13.055270
6454 10 12.361022
6454 11 6.679491
6454 12 6.961787
6454 13 12.781217
6454 14 12.140079
6454 15 12.587837
6453 2 11.469708
6453 3 12.107717
6453 4 11.542701
6453 5 11.411483
6453 6 16.468684
6453 7 10.877936
6453 8 11.874573
6453 9 13.135429
6453 10 12.347515
6453 11 6.700644
6453 12 6.945119
6453 13 12.788081
6453 14 12.211541
6453 15 12.550834
6452 2 11.426000
6452 3 12.133280
6452 4 11.599058
6452 5 11.366836
6452 6 16.522901
6452 7 10.861830
6452 8 11.894375
6452 9 12.915230
6452 10 12.258425
6452 11 6.683269
6452 12 6.949490
6452 13 12.833859
6452 14 12.296753
6452 15 12.598423
6451 2 11.480156
6451 3 12.116288
6451 4 11.558325
6451 5 11.365201
6451 6 16.539153
6451 7 10.894124
6451 8 11.888505
6451 9 13.028250
6451 10 12.346236
6451 11 6.665817
6451 12 6.948391
6451 13 12.780750
6451 14 12.168053
6451 15 12.600840
6450 2 11.446479
6450 3 12.124016
6450 4 11.562340
6450 5 11.358609
6450 6 16.507879
6450 7 10.891536
6450 8 11.857353
6450 9 12.994016
6450 10 12.330203
6450 11 6.666656
6450 12 6.957586
6450 13 12.859070
6450 14 12.025200
6450 15 12.613226
6449 2 11.441280
6449 3 12.109860
6449 4 11.563828
6449 5 11.358210
6449 6 16.557997
6449 7 10.890181
6449 8 11.866951
6449 9 12.969421
6449 10 12.311500
6449 11 6.672925
6449 12 6.969861
6449 13 12.813804
6449 14 12.021052
6449 15 12.575289
6448 2 11.459426
6448 3 12.090525
6448 4 11.506760
6448 5 11.365038
6448 6 16.511212
6448 7 10.906210
6448 8 11.884612
6448 9 12.987502
6448 10 12.305880
6448 11 6.694329
6448 12 6.964232
6448 13 12.804482
6448 14 12.152474
6448 15 12.559449
6447 2 11.440511
6447 3 12.101589
6447 4 11.508410
6447 5 11.404189
6447 6 16.554171
6447 7 10.882577
6447 8 11.873777
6447 9 12.976419
6447 10 12.299424
6447 11 6.669880
6447 12 6.910778
6447 13 12.807241
6447 14 12.179351
6447 15 12.561097
6446 2 11.452429
6446 3 12.097040
6446 4 11.612155
6446 5 11.371669
6446 6 16.498131
6446 7 10.897604
6446 8 11.880793
6446 9 12.952031
6446 10 12.330648
6446 11 6.669119
6446 12 6.935746
6446 13 12.805495
6446 14 12.191464
6446 15 12.587546
6445 2 11.388721
6445 3 12.110653
6445 4 11.613643
6445 5 11.368281
6445 6 16.523397
6445 7 10.852429
6445 8 11.907809
6445 9 12.945051
6445 10 12.265219
6445 11 6.675678
6445 12 6.905212
6445 13 12.839801
6445 14 12.207735
6445 15 12.595960
6444 2 11.468807
6444 3 12.104462
6444 4 11.535920
6444 5 11.395684
6444 6 16.463591
6444 7 10.897190
6444 8 11.889941
6444 9 13.021895
6444 10 12.327422
6444 11 6.668494
6444 12 6.955116
6444 13 12.768111
6444 14 12.175297
6444 15 12.533943
6443 2 11.435827
6443 3 12.080276
6443 4 11.548322
6443 5 11.334582
6443 6 16.519721
6443 7 10.851704
6443 8 11.859739
6443 9 12.953999
6443 10 12.294855
6443 11 6.652719
6443 12 6.919354
6443 13 12.736004
6443 14 12.275161
6443 15 12.564574
6442 2 11.421573
6442 3 12.111970
6442 4 11.592700
6442 5 11.331028
6442 6 16.483921
6442 7 10.856491
6442 8 11.865167
6442 9 12.948717
6442 10 12.326053
6442 11 6.672750
6442 12 6.911618
6442 13 12.763655
6442 14 12.169615
6442 15 12.554314
6441 2 11.437067
6441 3 12.118050
6441 4 11.523665
6441 5 11.346536
6441 6 16.524841
6441 7 10.859718
6441 8 11.865918
6441 9 12.923745
6441 10 12.335863
6441 11 6.678961
6441 12 6.891472
6441 13 12.753592
6441 14 12.207482
6441 15 12.579256
6440 2 11.419567
6440 3 12.109406
6440 4 11.545975
6440 5 11.353248
6440 6 16.489513
6440 7 10.886921
6440 8 11.863528
6440 9 13.088929
6440 10 12.356920
6440 11 6.655533
6440 12 6.866990
6440 13 12.739570
6440 14 12.127188
6440 15 12.607433
6439 2 11.434734
6439 3 12.106256
6439 4 11.511525
6439 5 11.341090
6439 6 16.485226
6439 7 10.881704
6439 8 11.853114
6439 9 12.929215
6439 10 12.336246
6439 11 6.667920
6439 12 6.881398
6439 13 12.740939
6439 14 12.206982
6439 15 12.547750
6438 2 11.440984
6438 3 12.108654
6438 4 11.750672
6438 5 11.360978
6438 6 16.549494
6438 7 10.847013
6438 8 11.863324
6438 9 13.275331
6438 10 12.334495
6438 11 6.698824
6438 12 6.944172
6438 13 12.793378
6438 14 12.423322
6438 15 12.588113
6437 2 11.433825
6437 3 12.114421
6437 4 11.602112
6437 5 11.359113
6437 6 16.458052
6437 7 10.886641
6437 8 11.843582
6437 9 12.925802
6437 10 12.333431
6437 11 6.668680
6437 12 6.916820
6437 13 12.765746
6437 14 12.162329
6437 15 12.557746
6436 2 11.464777
6436 3 12.150218
6436 4 11.432489
6436 5 11.395250
6436 6 16.496080
6436 7 10.866137
6436 8 11.897797
6436 9 12.974324
6436 10 12.345729
6436 11 6.678328
6436 12 6.954786
6436 13 12.732253
6436 14 12.206254
6436 15 12.544949
6435 2 11.447608
6435 3 12.105347
6435 4 11.515017
6435 5 11.355747
6435 6 16.583753
6435 7 10.901883
6435 8 11.879063
6435 9 12.938335
6435 10 12.356303
6435 11 6.662972
6435 12 6.951650
6435 13 12.783022
6435 14 12.145815
6435 15 12.573433
6434 2 11.438672
6434 3 12.091681
6434 4 11.482876
6434 5 11.397749
6434 6 16.537065
6434 7 10.909476
6434 8 11.857102
6434 9 12.950810
6434 10 12.319374
6434 11 6.660546
6434 12 6.973214
6434 13 12.820460
6434 14 12.504717
6434 15 12.569794
6433 2 11.466346
6433 3 12.112316
6433 4 11.470994
6433 5 11.375300
6433 6 16.539551
6433 7 10.912366
6433 8 11.860020
6433 9 12.932410
6433 10 12.295875
6433 11 6.654964
6433 12 6.958612
6433 13 12.735477
6433 14 12.168923
6433 15 12.547623
6432 2 11.470735
6432 3 12.112338
6432 4 11.483247
6432 5 11.367595
6432 6 16.520639
6432 7 10.883441
6432 8 11.859720
6432 9 12.929685
6432 10 12.329334
6432 11 6.667166
6432 12 6.921613
6432 13 12.774419
6432 14 12.150032
6432 15 12.588757
6431 2 11.454107
6431 3 12.107866
6431 4 11.450867
6431 5 11.380690
6431 6 16.509458
6431 7 10.903678
6431 8 11.888844
6431 9 12.916013
6431 10 12.342721
6431 11 6.674186
6431 12 6.960676
6431 13 12.802096
6431 14 12.131425
6431 15 12.535084
6430 2 11.424781
6430 3 12.107295
6430 4 11.525420
6430 5 11.360933
6430 6 16.553748
6430 7 10.879114
6430 8 11.842589
6430 9 12.925620
6430 10 12.343057
6430 11 6.660075
6430 12 6.930012
6430 13 12.742082
6430 14 12.122431
6430 15 12.570463
6429 2 11.462558
6429 3 12.143306
6429 4 11.529352
6429 5 11.361935
6429 6 16.529665
6429 7 10.865996
6429 8 11.855947
6429 9 12.907596
6429 10 12.333798
6429 11 6.689077
6429 12 6.925777
6429 13 12.755347
6429 14 12.233129
6429 15 12.556713
6428 2 11.457790
6428 3 12.102010
6428 4 11.573177
6428 5 11.395339
6428 6 16.480236
6428 7 10.853197
6428 8 11.863084
6428 9 12.961737
6428 10 12.324530
6428 11 6.679748
6428 12 6.955221
6428 13 12.755584
6428 14 12.128246
6428 15 12.565041
6427 2 11.416546
6427 3 12.144060
6427 4 11.571178
6427 5 11.344025
6427 6 16.514593
6427 7 10.838984
6427 8 11.867508
6427 9 13.113133
6427 10 12.375780
6427 11 6.699737
6427 12 6.922419
6427 13 12.770724
6427 14 12.139770
6427 15 12.569340
6426 2 11.476324
6426 3 12.092606
6426 4 11.481246
6426 5 11.361501
6426 6 16.502541
6426 7 10.888964
6426 8 11.861686
6426 9 12.941803
6426 10 12.336411
6426 11 6.678467
