# E_nu[MeV], flux[count/MeV/cm^2/s]
3.390000000000000124e+00, 5.466076027827066040e+11
3.400000000000000355e+00, 5.422431707728469238e+11
3.410000000000000142e+00, 5.379038517224306030e+11
3.419999999999999929e+00, 5.335896020685914917e+11
3.429999999999999716e+00, 5.293003772214484863e+11
3.439999999999999947e+00, 5.250361315757369385e+11
3.450000000000000178e+00, 5.207968185224389038e+11
3.459999999999999964e+00, 5.165823904604102783e+11
3.469999999999999751e+00, 5.123927988080030518e+11
3.479999999999999982e+00, 5.082279940146833496e+11
3.490000000000000213e+00, 5.040879255726443481e+11
3.500000000000000000e+00, 4.999725420284080200e+11
3.509999999999999787e+00, 4.958817909944204102e+11
3.520000000000000018e+00, 4.918156191606364746e+11
3.530000000000000249e+00, 4.877739723060933228e+11
3.540000000000000036e+00, 4.837567953104708252e+11
3.549999999999999822e+00, 4.797640321656377563e+11
3.560000000000000053e+00, 4.757956259871846313e+11
3.570000000000000284e+00, 4.718515190259398804e+11
3.580000000000000071e+00, 4.679316526794683838e+11
3.589999999999999858e+00, 4.640359675035515137e+11
3.600000000000000089e+00, 4.601644032236490479e+11
3.610000000000000320e+00, 4.563168987463395386e+11
3.620000000000000107e+00, 4.524933921707393799e+11
3.629999999999999893e+00, 4.486938207998986206e+11
3.640000000000000124e+00, 4.449181211521738281e+11
3.650000000000000355e+00, 4.411662289725765381e+11
3.660000000000000142e+00, 4.374380792440941772e+11
3.669999999999999929e+00, 4.337336061989848633e+11
3.679999999999999716e+00, 4.300527433300455933e+11
3.689999999999999947e+00, 4.263954234018490601e+11
3.700000000000000178e+00, 4.227615784619535522e+11
3.709999999999999964e+00, 4.191511398520789795e+11
3.719999999999999751e+00, 4.155640382192526245e+11
3.729999999999999982e+00, 4.120002035269216309e+11
3.740000000000000213e+00, 4.084595650660332642e+11
3.750000000000000000e+00, 4.049420514660779419e+11
3.759999999999999787e+00, 4.014475907060975342e+11
3.770000000000000018e+00, 3.979761101256584473e+11
3.780000000000000249e+00, 3.945275364357862549e+11
3.790000000000000036e+00, 3.911017957298612671e+11
3.799999999999999822e+00, 3.876988134944768677e+11
3.810000000000000053e+00, 3.843185146202561035e+11
3.820000000000000284e+00, 3.809608234126282349e+11
3.830000000000000071e+00, 3.776256636025637207e+11
3.839999999999999858e+00, 3.743129583572659912e+11
3.850000000000000089e+00, 3.710226302908208008e+11
3.860000000000000320e+00, 3.677546014748009033e+11
3.870000000000000107e+00, 3.645087934488261719e+11
3.879999999999999893e+00, 3.612851272310776367e+11
3.890000000000000124e+00, 3.580835233287653198e+11
3.900000000000000355e+00, 3.549039017485499878e+11
3.910000000000000142e+00, 3.517461820069149170e+11
3.919999999999999929e+00, 3.486102831404912109e+11
3.929999999999999716e+00, 3.454961237163321533e+11
3.939999999999999947e+00, 3.424036218421389160e+11
3.950000000000000178e+00, 3.393326951764350586e+11
3.959999999999999964e+00, 3.362832609386896362e+11
3.969999999999999751e+00, 3.332552359193884277e+11
3.979999999999999982e+00, 3.302485364900523682e+11
3.990000000000000213e+00, 3.272630786132037964e+11
4.000000000000000000e+00, 3.242987778522777100e+11
